ID,Longtitude,Latitude
172358822,-80.7455864,35.3101162
172358825,-80.7436613,35.3119738
172358828,-80.7429150,35.3127082
172871791,-80.7440946,35.3085449
172871793,-80.7441290,35.3082830
172871797,-80.7441480,35.3081590
172871801,-80.7441870,35.3078780
172871804,-80.7441760,35.3078230
172871807,-80.7441450,35.3077730
172871810,-80.7440970,35.3077340
172871812,-80.7440470,35.3076800
172871814,-80.7439810,35.3075990
172871817,-80.7438930,35.3075180
172871821,-80.7438260,35.3074400
172871823,-80.7437970,35.3074210
172871824,-80.7437300,35.3073960
172871826,-80.7436570,35.3073860
172871828,-80.7435860,35.3073940
172871831,-80.7434860,35.3074250
172871833,-80.7434370,35.3074560
172871834,-80.7433300,35.3075070
172871835,-80.7432150,35.3075420
172871837,-80.7430730,35.3075630
172871841,-80.7429180,35.3075690
172871843,-80.7426070,35.3075450
172871845,-80.7425470,35.3075550
172871847,-80.7425190,35.3075660
172871849,-80.7424740,35.3075990
172871851,-80.7424560,35.3076200
172871854,-80.7423620,35.3078140
172871857,-80.7423470,35.3078330
172871859,-80.7423150,35.3078670
172871861,-80.7422010,35.3079640
172871863,-80.7421730,35.3079990
172871866,-80.7421210,35.3079960
172871868,-80.7420800,35.3079840
172871870,-80.7420150,35.3079660
172871872,-80.7419040,35.3079400
172871874,-80.7417820,35.3079030
172871876,-80.7414980,35.3078670
172871879,-80.7410550,35.3078230
172871880,-80.7410330,35.3078290
172871882,-80.7409870,35.3078540
172871884,-80.7409590,35.3078640
172871887,-80.7409290,35.3078690
172871890,-80.7408690,35.3078660
172871893,-80.7408140,35.3078460
172871896,-80.7407900,35.3078310
172871899,-80.7407400,35.3077820
172871902,-80.7407100,35.3077580
172871905,-80.7406400,35.3077220
172871906,-80.7405620,35.3077020
172871909,-80.7404906,35.3077043
172871911,-80.7404209,35.3077241
172871915,-80.7403632,35.3077489
172871953,-80.7407392,35.3084469
172871963,-80.7409970,35.3083590
172871968,-80.7410490,35.3083680
172871971,-80.7412100,35.3083690
172871974,-80.7413030,35.3083370
172871979,-80.7414035,35.3083418
172871983,-80.7415293,35.3083450
172871985,-80.7416987,35.3083570
172871988,-80.7417523,35.3083702
172871990,-80.7418129,35.3083894
172871993,-80.7418820,35.3084170
172871995,-80.7419580,35.3084160
172871996,-80.7421870,35.3083690
172871997,-80.7422440,35.3083350
172871999,-80.7422830,35.3083060
172872001,-80.7423510,35.3082380
172872003,-80.7424537,35.3081383
